,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,红球_7,红球_8,红球_9,红球_10,红球_11,红球_12,红球_13,红球_14,红球_15,红球_16,红球_17,红球_18,红球_19,红球_20
0,2025269,1,8,10,15,19,20,24,30,33,43,49,50,56,57,60,67,70,73,78,80
1,2025268,5,12,16,18,19,26,31,33,38,39,41,42,49,54,59,64,65,70,73,77
2,2025267,8,13,20,21,25,34,37,39,45,47,50,57,58,60,65,71,72,75,78,79
3,2025266,1,5,9,13,16,17,25,28,29,33,34,38,45,47,48,55,62,71,73,78
4,2025265,2,9,11,16,18,27,28,35,36,38,49,52,54,60,62,64,66,72,77,78
5,2025264,6,10,15,16,20,24,25,28,34,35,37,38,42,44,45,49,54,66,69,80
6,2025263,4,5,11,13,14,20,23,24,27,32,33,42,45,55,58,62,64,70,79,80
7,2025262,8,10,14,19,27,31,33,40,42,44,46,47,49,54,58,60,67,70,75,77
8,2025261,3,10,15,17,19,22,23,25,31,35,36,42,60,61,62,65,70,73,76,77
9,2025260,3,8,10,11,13,16,21,24,27,38,41,48,54,58,59,61,62,66,69,71
10,2025259,4,7,9,19,20,30,33,35,44,45,48,49,50,51,52,70,71,72,74,78
11,2025258,1,5,10,12,16,23,25,28,29,36,40,46,51,55,58,64,66,71,76,80
12,2025257,1,8,13,15,22,34,36,38,42,43,49,50,51,65,66,67,70,71,79,80
13,2025256,8,13,18,29,34,35,39,41,43,45,46,47,57,64,68,71,73,74,75,78
14,2025255,5,13,15,21,25,26,27,31,37,39,46,50,54,56,57,59,65,70,78,79
15,2025254,16,18,20,29,32,36,37,41,52,53,54,55,56,57,65,69,70,74,75,76
16,2025253,3,10,20,23,27,30,32,35,44,48,50,51,53,56,57,63,65,68,70,72
17,2025252,13,18,19,26,27,30,33,37,41,43,47,49,53,58,61,64,68,71,73,76
18,2025251,1,2,4,14,15,23,25,26,27,30,36,39,42,44,46,52,55,62,65,66
19,2025250,1,2,6,16,20,21,23,26,27,29,30,34,40,43,59,63,65,71,79,80
20,2025249,1,6,7,12,13,15,21,25,27,30,36,40,41,45,55,57,67,72,73,77
21,2025248,6,10,21,22,28,29,32,33,34,37,43,49,51,52,55,56,57,59,67,80
22,2025247,1,3,5,6,10,11,14,23,25,32,35,36,50,51,57,58,65,72,73,76
23,2025246,1,4,8,11,26,27,30,37,46,53,55,57,62,64,65,69,72,78,79,80
24,2025245,2,7,8,11,17,19,21,22,26,28,31,40,43,44,53,63,71,74,76,80
25,2025244,2,3,6,10,12,16,23,25,28,29,34,35,38,42,44,47,58,64,73,80
26,2025243,1,4,7,18,22,25,29,30,34,37,43,49,51,53,54,55,57,67,75,77
27,2025242,2,8,11,13,15,16,20,21,23,26,35,53,65,66,69,72,73,78,79,80
28,2025241,3,7,12,13,16,18,20,28,37,47,48,50,53,61,63,68,69,75,76,80
29,2025240,8,9,11,12,15,27,35,36,43,45,49,50,51,61,64,65,68,72,78,79
30,2025239,2,3,10,12,15,21,22,27,34,35,37,38,49,51,55,65,66,70,71,76
31,2025238,12,14,15,16,17,24,25,28,29,31,38,44,46,47,49,57,59,60,61,76
32,2025237,1,3,6,13,18,22,25,26,28,32,33,41,42,45,47,63,66,73,75,80
33,2025236,2,5,12,16,21,27,39,44,53,54,56,58,60,61,62,66,72,76,77,78
34,2025235,3,8,12,13,16,29,31,38,40,43,44,52,53,57,58,60,63,69,74,79
35,2025234,6,8,9,11,14,15,25,27,33,39,40,43,46,49,52,54,61,65,70,80
36,2025233,8,11,16,26,35,36,49,52,53,54,55,57,58,61,65,69,70,72,73,80
37,2025232,1,2,3,4,5,14,17,20,21,27,29,32,42,45,46,51,56,60,68,73
38,2025231,7,16,17,20,21,27,29,35,41,44,45,46,50,53,55,59,60,62,63,66
39,2025230,7,15,17,21,29,35,42,43,44,46,47,57,58,59,62,63,68,73,76,79
40,2025229,2,3,6,7,10,11,23,24,26,28,29,37,41,48,52,59,61,65,66,77
41,2025228,2,6,8,9,17,18,20,28,47,49,50,55,56,58,60,66,69,75,78,80
42,2025227,2,11,12,18,19,23,30,33,34,40,46,49,55,62,63,70,71,74,77,78
